collector,status,rows,elapsed_seconds,output_file,error
gaia_dr3,ok,3,76.355,rawdata/gaia_dr3_ra188p4155_dec9p1751_r0p5arcmin.csv,
sdss_dr18,ok,16,1.232,rawdata/sdss_dr18_ra188p4155_dec9p1751_r0p5arcmin.csv,
panstarrs1,ok,157,0.403,rawdata/panstarrs1_ra188p4155_dec9p1751_r0p5arcmin.csv,
desi_legacy,empty,0,1.276,rawdata/desi_legacy_ra188p4155_dec9p1751_r0p5arcmin.csv,
galex,ok,1,1.054,rawdata/galex_ra188p4155_dec9p1751_r0p5arcmin.csv,
twomass,ok,6,0.962,rawdata/twomass_ra188p4155_dec9p1751_r0p5arcmin.csv,
allwise,ok,1,0.996,rawdata/allwise_ra188p4155_dec9p1751_r0p5arcmin.csv,
lotss,empty,0,0.83,rawdata/lotss_ra188p4155_dec9p1751_r0p5arcmin.csv,
first,empty,0,0.912,rawdata/first_ra188p4155_dec9p1751_r0p5arcmin.csv,
nvss,ok,1,0.977,rawdata/nvss_ra188p4155_dec9p1751_r0p5arcmin.csv,
vlass,empty,0,0.77,rawdata/vlass_ra188p4155_dec9p1751_r0p5arcmin.csv,
xmm,empty,0,1.025,rawdata/xmm_ra188p4155_dec9p1751_r0p5arcmin.csv,
chandra,empty,0,0.688,rawdata/chandra_ra188p4155_dec9p1751_r0p5arcmin.csv,
erosita,empty,0,0.896,rawdata/erosita_ra188p4155_dec9p1751_r0p5arcmin.csv,
sdss_spectroscopy,ok,1,0.871,rawdata/sdss_spectroscopy_ra188p4155_dec9p1751_r0p5arcmin.csv,
desi_spectroscopy,empty,0,1.032,rawdata/desi_spectroscopy_ra188p4155_dec9p1751_r0p5arcmin.csv,
lamost_spectroscopy,empty,0,0.701,rawdata/lamost_spectroscopy_ra188p4155_dec9p1751_r0p5arcmin.csv,
simbad,ok,1,1.42,rawdata/simbad_ra188p4155_dec9p1751_r0p5arcmin.csv,
ned,timeout,0,248.312,,"ReadTimeout(ReadTimeoutError(""HTTPSConnectionPool(host='ned.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)""))"
