catalog,catalog_object_id,object_name,ra,dec,No.,Object Name,RA,DEC,Type,Velocity,Redshift,Redshift Flag,Magnitude and Filter,Separation,References,Notes,Photometry Points,Positions,Redshift Points,Diameter Points,Associations
NED,2MASS J12333878+0910099,2MASS J12333878+0910099,188.4116,9.16943,1,2MASS J12333878+0910099,188.4116,9.16943,IrS,,,,,0.411,0,0,4,1,0,0,0
NED,2MASS J12333948+0910250,2MASS J12333948+0910250,188.41453,9.17363,2,2MASS J12333948+0910250,188.41453,9.17363,IrS,,,,,0.105,0,0,5,1,0,0,0
NED,WISEA J123339.67+091028.2,WISEA J123339.67+091028.2,188.41531,9.17451,3,WISEA J123339.67+091028.2,188.41531,9.17451,UvS,,,,,0.037,0,0,16,2,0,0,0
NED,NGC 4522,NGC 4522,188.41532,9.17479,4,NGC 4522,188.41532,9.17479,G,2329.0,0.007769,S1L,13.0g,0.021,316,2,124,59,47,15,1
NED,GALEXMSC J123339.77+091029.0,GALEXMSC J123339.77+091029.0,188.41575,9.17473,5,GALEXMSC J123339.77+091029.0,188.41575,9.17473,UvS,,,,,0.027,0,0,4,1,0,0,0
NED,2MASS J12333981+0910320,2MASS J12333981+0910320,188.41592,9.17558,6,2MASS J12333981+0910320,188.41592,9.17558,IrS,,,,,0.038,0,0,5,1,0,0,0
NED,2MASS J12333993+0910421,2MASS J12333993+0910421,188.41642,9.17838,7,2MASS J12333993+0910421,188.41642,9.17838,IrS,,,,,0.204,0,0,4,1,0,0,0
NED,SDSS J123340.10+091039.3,SDSS J123340.10+091039.3,188.41712,9.17761,8,SDSS J123340.10+091039.3,188.41712,9.17761,*,,,,20.5g,0.179,0,0,5,1,0,4,1
NED,2MASX J12334020+0910395,2MASX J12334020+0910395,188.4175,9.17761,9,2MASX J12334020+0910395,188.4175,9.17761,PofG,,,,,0.192,0,0,9,1,0,2,3
NED,SSTSL2 J123340.22+091054.3,SSTSL2 J123340.22+091054.3,188.41762,9.18177,10,SSTSL2 J123340.22+091054.3,188.41762,9.18177,IrS,,,,,0.42,0,0,10,1,0,0,0
NED,2MASS J12334062+0910376,2MASS J12334062+0910376,188.41927,9.17711,11,2MASS J12334062+0910376,188.41927,9.17711,IrS,,,,,0.254,0,0,4,1,0,0,0
NED,SDSS J123340.77+091042.3,SDSS J123340.77+091042.3,188.41988,9.17844,12,SDSS J123340.77+091042.3,188.41988,9.17844,*,388231.0,1.295,PUN,22.1g,0.328,2,0,5,1,1,4,1
NED,SSTSL2 J123341.52+091019.9,SSTSL2 J123341.52+091019.9,188.423,9.17221,13,SSTSL2 J123341.52+091019.9,188.423,9.17221,IrS,,,,,0.477,0,0,8,1,0,0,0
