catalog,catalog_object_id,object_name,ra,dec,objID,objName,raMean,decMean,raMeanErr,decMeanErr,nDetections,ng,nr,ni,nz,ny,gMeanPSFMag,gMeanPSFMagErr,rMeanPSFMag,rMeanPSFMagErr,iMeanPSFMag,iMeanPSFMagErr,zMeanPSFMag,zMeanPSFMagErr,yMeanPSFMag,yMeanPSFMagErr,gMeanKronMag,gMeanKronMagErr,rMeanKronMag,rMeanKronMagErr,iMeanKronMag,iMeanKronMagErr,zMeanKronMag,zMeanKronMagErr,yMeanKronMag,yMeanKronMagErr,gMeanApMag,gMeanApMagErr,rMeanApMag,rMeanApMagErr,iMeanApMag,iMeanApMagErr,zMeanApMag,zMeanApMagErr,yMeanApMag,yMeanApMagErr
Pan-STARRS1 DR2 MeanObject,119001884096335199,PSO J188.4096+09.1705,188.4095989223985,9.170586054781532,119001884096335199,PSO J188.4096+09.1705,188.4095989223985,9.170586054781532,0.0026057851345376,0.0026057851345376,43,0,5,19,11,8,-999.0,-999.0,20.1525993347168,0.3754200041294098,18.964799880981445,0.0511900000274181,19.022199630737305,0.0587659999728202,18.675500869750977,0.048395000398159,-999.0,-999.0,16.362699508666992,0.0025450000539422,14.184100151062012,0.0597640015184879,-999.0,-999.0,17.621200561523438,0.0580359995365142,-999.0,-999.0,18.664899826049805,0.0163759998977184,17.68869972229004,0.0486400015652179,18.28249931335449,0.0775709971785545,18.22279930114746,0.0607310011982917
Pan-STARRS1 DR2 MeanObject,119001884102265469,PSO J188.4102+09.1709,188.4102495,9.17089943,119001884102265469,PSO J188.4102+09.1709,188.4102495,9.17089943,0.0010000000474974,0.0010000000474974,3,3,0,0,0,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,15.721199989318848,0.2068880051374435,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
Pan-STARRS1 DR2 MeanObject,119001884102363131,PSO J188.4102+09.1688,188.4101741,9.16884229,119001884102363131,PSO J188.4102+09.1688,188.4101741,9.16884229,0.0433499999344348,0.0433499999344348,1,0,0,1,0,0,-999.0,-999.0,-999.0,-999.0,18.86009979248047,0.0406769998371601,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,13.594400405883787,0.0046060001477599,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,17.476499557495117,0.0406769998371601,-999.0,-999.0,-999.0,-999.0
Pan-STARRS1 DR2 MeanObject,119001884103395889,PSO J188.4103+09.1711,188.41027382,9.17112352,119001884103395889,PSO J188.4103+09.1711,188.41027382,9.17112352,0.0179500002413988,0.0179500002413988,2,2,0,0,0,0,19.38139915466309,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,14.687999725341797,0.046519000083208,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,17.832599639892578,0.6940400004386902,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
Pan-STARRS1 DR2 MeanObject,119001884112147117,PSO J188.4112+09.1722,188.41117405,9.17218824,119001884112147117,PSO J188.4112+09.1722,188.41117405,9.17218824,0.0302200000733137,0.0302200000733137,2,1,1,0,0,0,19.898700714111328,0.0262369997799396,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,16.79050064086914,0.0072780000045895,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,18.47879981994629,0.0262369997799396,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
Pan-STARRS1 DR2 MeanObject,119001884114906699,PSO J188.4115+09.1719,188.41149054,9.17185262,119001884114906699,PSO J188.4115+09.1719,188.41149054,9.17185262,-999.0,-999.0,1,0,1,0,0,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
Pan-STARRS1 DR2 MeanObject,119001884115752101,PSO J188.4116+09.1680,188.41157537,9.16802104,119001884115752101,PSO J188.4116+09.1680,188.41157537,9.16802104,-999.0,-999.0,1,1,0,0,0,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,15.510499954223633,0.003303000004962,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
Pan-STARRS1 DR2 MeanObject,119001884115783458,PSO J188.4116+09.1693,188.41157501,9.16929477,119001884115783458,PSO J188.4116+09.1693,188.41157501,9.16929477,0.0414599999785423,0.0414599999785423,2,0,0,0,0,2,19.599000930786133,-999.0,20.106000900268555,-999.0,20.47100067138672,-999.0,20.78400039672852,-999.0,19.108299255371094,0.0595559999346733,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,19.69659996032715,0.2167689949274063,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,19.877199172973636,0.0595559999346733
Pan-STARRS1 DR2 MeanObject,119001884117867761,PSO J188.4118+09.1727,188.41178696,9.17273802,119001884117867761,PSO J188.4118+09.1727,188.41178696,9.17273802,-999.0,-999.0,1,0,1,0,0,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
Pan-STARRS1 DR2 MeanObject,119001884121612633,PSO J188.4122+09.1685,188.41215953,9.16845875,119001884121612633,PSO J188.4122+09.1685,188.41215953,9.16845875,0.0010000000474974,0.0010000000474974,0,0,0,0,0,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
